position	COMBINED_rate(cM/Mb)	Genetic_Map(cM)
106518	0.351661075	0
141184	0.014498509	0.000502605
195511	8.36E-01	0.000507148
226737	0.006223021	0.000701468
238858	0.010305124	0.000826376
257821	0.014748317	0.001106048
314510	0.002268899	0.00123467
314685	6.212.680.871	0.012106861
368267	0.446288311	0.036019882
396389	0.123315678	0.039487765
398244	1.701.658.633	0.042644342
410240	1.400.225.018	0.059441441
410471	0.609219641	0.059582171
471273	0.191088684	0.071200745
627882	0.038981097	0.077305536
833354	0.002594048	0.07783854
1207075	0.002687833	0.07884304
1213731	0.327680424	0.081024081
1242783	0.035764412	0.082063108
1288828	0.014789737	0.082744102
1461571	0.005285246	0.083657091
1614261	0.00887888	0.085012807
1642570	0.200553525	0.090690277
1648043	0.061423653	0.091026448
1801624	0.003631717	0.091584211
1832292	0.020025581	0.092198356
1832894	1.480.755.736	0.093089771
1923484	0.011646466	0.094144824
2065804	0.011434564	0.095772191
2074295	0.014678341	0.095896825
2166162	0.00133544	0.096019508
2182330	0.04651406	0.096771547
2591073	0.001659651	0.097449918
3295487	0.000105704	0.097524378
3335960	0.002811778	0.097638179
3336148	3.903.454.797	0.098372028
3336388	2.389.646.414	0.098945543
3469120	0.000618541	0.099027643
3470384	0.036814195	0.099074177
3551683	0.001633921	0.099207013
3555942	0.022831486	0.099304252
3823781	0.000166376	0.099348814
3974752	0.000636523	0.09944491
4177003	0.000549714	0.099556091
4177195	2.973.334.902	0.100126971
4444971	0.00057203	0.100280147
4473040	0.000782071	0.100302099
4670128	0.00074882	0.100449682
4701224	0.000529701	0.100466154
4826262	0.015829806	0.102445481
4850123	0.003508729	0.102529203
5048456	0.001462654	0.102819295
5849852	2.31E+00	0.102837802
5849993	1.889.168.266	0.103104175
5850053	1.784.585.015	0.10321125
5850803	6.306.859.112	0.107941395
5851192	2.889.764.097	0.119182577
5852757	0.514536768	0.119987827
5864065	0.014030778	0.120146487
5895227	0.020400475	0.120782207
6071303	0.000541702	0.120877587
6099875	0.005282069	0.121028507
6100004	1.893.055.009	0.121272711
6388474	0.001639982	0.121745796
6422780	0.006073844	0.121954166
6422832	1.327.656.301	0.122644547
6423296	0.590821718	0.122918688
6423476	0.253453023	0.12296431
6445075	0.011993187	0.123223351
6903226	2.26E+00	0.123233711
7262763	0.000136986	0.123282963
7262879	2.858.268.078	0.123614522
7263350	0.068676665	0.123646869
7263358	3.666.166.922	0.123940162
7484322	0.000456667	0.124041069
7995004	0.00183478	0.124978058
8312329	0.002404553	0.125741083
10240158	0.001546062	0.128721626
10240254	4.241.772.007	0.129128836
11038742	0.000841787	0.129800993
11223944	0.001948566	0.130161871
11224867	0.135399977	0.130286845
11224953	2.329.977.134	0.130487223
11226293	0.113541749	0.130639369
12032376	4.61E+00	0.130676525
15778047	2.87E+00	0.130784077
17393943	1.67E+00	0.130811002
17700454	0.000134886	0.130852346
20312642	2.26E+00	0.130911511
20312683	5.554.819.846	0.131139259
21067273	7.54E-01	0.131196155
21375520	0.000597567	0.131380354
21482244	0.000132249	0.131394468
23814407	1.38E-01	0.131426703
23933179	0.000474994	0.131483119
24858593	1.18E+00	0.131494009
26363264	9.82E+00	0.131641741
27490699	3.99E+00	0.131686723
28434793	0.000300421	0.131970348
28434931	0.065191765	0.131979345
28621195	0.000217419	0.132019842
28621753	0.018047973	0.132029913
28886273	8.10E-02	0.132032056
29797293	8.70E-01	0.132039984
29945939	0.000172979	0.132065696
30381815	4.74E+00	0.132086338
30382462	0.010021898	0.132092822
30382472	1.066.778.157	0.13210349
30382874	0.009206635	0.132107191
30443070	6.39E+00	0.132111034
30443155	0.093344153	0.132118969
30455863	2.77E-01	0.132119004
30466255	0.000641337	0.132125669
31043830	0.000184964	0.132232499
31135283	6.43E+00	0.132238378
31441466	0.001156096	0.132592355
31590352	0.018096604	0.135286686
31631446	0.018696204	0.136054988
31800267	0.000509274	0.136140964
31830854	0.003142636	0.136237088
32103689	0.000551475	0.136387549
32433877	0.000390075	0.136516347
33814201	0.000232851	0.136837757
34092138	4.68E-01	0.136850778
34197058	0.001951773	0.137055558
34311754	0.001033065	0.137174047
34893250	0.000678148	0.137568387
34950532	0.002955649	0.137737692
35138137	0.002168306	0.138144477
35194342	0.012622453	0.138853922
35798871	0.004113456	0.141340625
36435709	0.000682768	0.141775438
